genre,gross,rate,runtime,title,vote,yr
"Drama, Romance",$330.25M,8.8,142 min,Forrest Gump,1522731,1994
"Action, Adventure, Sci-Fi",$623.36M,8.1,143 min,The Avengers,1126719,2012
"Drama, Horror",$44.02M,8.4,146 min,The Shining,739537,1980
"Action, Crime, Drama",$44.95M,7.0,140 min,Den of Thieves,52635,2018
"Family, Fantasy, Musical",$504.01M,7.2,129 min,Beauty and the Beast,217437,2017
"Crime, Drama, Mystery",$54.12M,7.8,187 min,The Hateful Eight,404681,2015
"Adventure, Family, Fantasy",$249.36M,7.9,142 min,Harry Potter and the Prisoner of Azkaban,460781,2004
"Crime, Drama, Mystery",$33.80M,7.7,107 min,Wind River,144721,2017
"Drama, Western",$162.81M,8.4,165 min,Django Unchained,1153727,2012
"Action, Adventure, Thriller",$195.04M,7.4,131 min,Mission: Impossible - Rogue Nation,294125,2015
"Action, Thriller",$448.14M,8.4,164 min,The Dark Knight Rises,1332383,2012
"Adventure, Comedy, Sci-Fi",$210.61M,8.5,116 min,Back to the Future,885319,1985
"Drama, Mystery, Sci-Fi",$25.44M,7.7,108 min,Ex Machina,398260,2014
"Action, Adventure, Sci-Fi",$63.54M,7.7,126 min,The Fifth Element,388669,1997
Comedy,$121.46M,7.6,113 min,Superbad,468912,2007
"Comedy, Drama, Music",$151.10M,8.1,128 min,La La Land,395056,2016
"Biography, Comedy, Drama",$21.12M,7.5,104 min,The Disaster Artist,95569,2017
"Action, Drama, Mystery",$107.51M,7.6,162 min,Watchmen,438827,2009
"Crime, Drama, Thriller",$132.38M,8.5,151 min,The Departed,1029084,2006
"Adventure, Sci-Fi, Thriller",$408.01M,7.2,142 min,The Hunger Games,775475,2012
"Drama, Mystery, Sci-Fi",$100.55M,7.9,116 min,Arrival,471687,2016
"Biography, Drama, History",$96.07M,8.9,195 min,Schindler's List,1032506,1993
"Crime, Drama, Thriller",$74.28M,8.1,122 min,No Country for Old Men,732471,2007
"Animation, Comedy, Family",$270.33M,7.1,108 min,Sing,103902,2016
"Action, Sci-Fi",$171.48M,8.7,136 min,The Matrix,1435644,1999
"Action, Adventure, Fantasy",$155.25M,7.0,124 min,The Mummy,355791,1999
"Action, Crime, Thriller",$43.04M,7.3,101 min,John Wick,400365,2014
"Comedy, Drama",$9.23M,7.0,95 min,Tully,24987,2018
"Crime, Drama, Mystery",$100.13M,8.6,127 min,Se7en,1222347,1995
"Crime, Drama, Thriller",$130.74M,8.6,118 min,The Silence of the Lambs,1072373,1991
"Drama, Horror, Mystery",$71.90M,7.2,103 min,10 Cloverfield Lane,245815,2016
"Animation, Adventure, Comedy",$32.02M,8.0,101 min,Isle of Dogs,73325,2018
"Biography, Crime, Drama",$28.78M,7.5,140 min,Molly's Game,83202,2017
"Action, Adventure, Comedy",$128.26M,7.7,129 min,Kingsman: The Secret Service,519638,2014
"Animation, Adventure, Comedy",$400.74M,7.5,102 min,Frozen,493734,2013
"Action, Biography, Drama",$56.51M,7.8,130 min,Tombstone,109595,1993
"Crime, Drama",$45.60M,8.3,170 min,Scarface,635620,1983
Drama,$37.03M,8.8,139 min,Fight Club,1601400,1999
"Comedy, Drama, Romance",$40.83M,7.7,110 min,"Love, Simon",61613,2018
"Comedy, Romance",$23.69M,7.1,93 min,Sixteen Candles,88242,1984
"Drama, Music",$13.09M,8.5,107 min,Whiplash,571629,2014
"Crime, Drama, Thriller",$19.50M,8.6,110 min,Léon: The Professional,876604,1994
"Comedy, Fantasy",$73.71M,7.5,92 min,Beetlejuice,220558,1988
"Action, Crime, Thriller",$101.53M,7.2,132 min,The Equalizer,280996,2014
"Crime, Drama",$15.07M,7.6,102 min,American Psycho,413847,2000
"Comedy, Music",$81.26M,7.1,108 min,School of Rock,235442,2003
"Action, Adventure, Fantasy",$760.51M,7.8,162 min,Avatar,1003548,2009
"Horror, Sci-Fi",$78.90M,8.5,116 min,Alien,682894,1979
"Drama, Romance",$56.25M,7.4,106 min,Me Before You,154117,2016
"Adventure, Family, Fantasy",$290.01M,7.7,157 min,Harry Potter and the Goblet of Fire,461294,2005
"Action, Adventure, Sci-Fi",$233.92M,8.0,132 min,X-Men: Days of Future Past,596189,2014
"Biography, Drama",$18.34M,7.7,134 min,Only the Brave,35829,2017
"Biography, Drama, History",$81.90M,7.2,116 min,The Post,89047,2017
Drama,$130.10M,8.4,122 min,American Beauty,955996,1999
"Comedy, Family, Fantasy",$102.27M,7.8,139 min,Mary Poppins,127696,1964
"Biography, Comedy, Drama",$30.01M,7.5,120 min,"I, Tonya",112140,2017
"Sci-Fi, Thriller",$27.00M,8.2,117 min,Blade Runner,600506,1982
"Adventure, Family, Fantasy",$30.86M,8.1,98 min,The Princess Bride,344165,1987
"Animation, Adventure, Drama",$312.90M,8.5,88 min,The Lion King,787566,1994
"Action, Adventure, Drama",$377.85M,8.9,201 min,The Lord of the Rings: The Return of the King,1424752,2003
"Comedy, Drama",$48.96M,7.5,94 min,Lady Bird,148097,2017
"Crime, Thriller",$183.42M,7.8,116 min,Ocean's Eleven,459808,2001
"Action, Adventure, Sci-Fi",$158.85M,7.1,122 min,Star Trek: Beyond,200197,2016
"Action, Adventure, Comedy",$180.20M,7.3,117 min,Ant-Man,451195,2015
"Biography, Drama, History",$67.21M,8.1,139 min,Hacksaw Ridge,335771,2016
"Musical, Romance",$188.76M,7.2,110 min,Grease,198840,1978
"Action, Crime, Thriller",$92.03M,7.5,122 min,John Wick: Chapter 2,244261,2017
"Crime, Drama, Romance",$10.64M,7.5,116 min,Nocturnal Animals,186831,2016
"Animation, Adventure, Comedy",$356.46M,8.2,95 min,Inside Out,500104,2015
"Comedy, Crime",$17.50M,8.1,117 min,The Big Lebowski,633769,1998
"Action, Adventure, Sci-Fi",$157.30M,7.4,104 min,X-Men,516933,2000
"Crime, Drama",$28.26M,8.3,114 min,Taxi Driver,608162,1976
"Drama, War",$46.36M,8.3,116 min,Full Metal Jacket,581775,1987
"Drama, Mystery, Sci-Fi",$53.09M,8.5,130 min,The Prestige,1017023,2006
Drama,$3.64M,8.3,102 min,Requiem for a Dream,673738,2000
Comedy,$86.06M,7.0,97 min,Mean Girls,288428,2004
"Action, Adventure, Drama",$183.64M,8.0,156 min,The Revenant,577531,2015
"Drama, War",$83.47M,8.5,147 min,Apocalypse Now,525424,1979
"Comedy, Drama, Romance",$59.70M,7.6,135 min,Love Actually,365685,2003
Comedy,$277.32M,7.7,100 min,The Hangover,648679,2009
"Adventure, Family, Fantasy",$38.63M,7.7,127 min,Stardust,233194,2007
"Drama, Romance",$81.00M,7.9,123 min,The Notebook,454839,2004
"Action, Adventure, Sci-Fi",$100.21M,7.9,113 min,Edge of Tomorrow,523114,2014
"Drama, Romance, Sci-Fi",$34.40M,8.3,108 min,Eternal Sunshine of the Spotless Mind,789868,2004
"Drama, Mystery, Thriller",$2.29M,7.0,121 min,The Killing of a Sacred Deer,72959,2017
"Action, Adventure, Sci-Fi",$409.01M,7.2,130 min,Iron Man 3,651040,2013
"Action, Adventure, Western",None,8.0,135 min,The Wild Bunch,69796,1969
"Crime, Drama, Sci-Fi",None,8.3,136 min,A Clockwork Orange,659664,1971
"Drama, Romance",$21.02M,7.6,130 min,Phantom Thread,70732,2017
"Crime, Drama, Mystery",$61.00M,8.1,153 min,Prisoners,498815,2013
"Drama, Sport",$117.24M,8.1,120 min,Rocky,451624,1976
"Drama, History, Romance",$133.38M,7.2,163 min,Troy,435435,2004
"Action, Adventure, Sci-Fi",$318.41M,7.9,126 min,Iron Man,812390,2008
"Drama, Romance, Sci-Fi",$100.01M,7.0,116 min,Passengers,284141,2016
"Drama, War",$216.54M,8.6,169 min,Saving Private Ryan,1054387,1998
"Action, Sci-Fi",$204.84M,8.5,137 min,Terminator 2,868274,1991
"Action, Adventure, Sci-Fi",$306.17M,7.0,145 min,Independence Day,481043,1996
"Action, Adventure, Fantasy",$181.03M,7.0,115 min,Thor,638578,2011
"Drama, Thriller",$106.95M,8.0,108 min,Black Swan,625266,2010
"Crime, Drama",$25.60M,7.2,91 min,The Outsiders,65572,1983
"Comedy, Crime, Drama",$43.02M,7.1,114 min,War Dogs,142612,2016
"Adventure, Family, Fantasy",$292.00M,7.5,138 min,Harry Potter and the Order of the Phoenix,427164,2007
"Drama, Mystery, Thriller",$55.69M,7.4,159 min,Eyes Wide Shut,262526,1999
"Drama, Mystery, Thriller",$7.22M,8.0,147 min,Mulholland Dr.,280155,2001
"Crime, Mystery, Thriller",$23.34M,8.6,106 min,The Usual Suspects,868983,1995
"Crime, Drama, Mystery",$102.52M,7.8,158 min,The Girl with the Dragon Tattoo,374244,2011
"Drama, History, Musical",$148.81M,7.6,158 min,Les Misérables,276280,2012
"Action, Sci-Fi",$38.40M,8.0,107 min,The Terminator,700434,1984
"Drama, Music",$116.72M,7.1,110 min,8 Mile,218848,2002
"Mystery, Thriller",$128.01M,8.1,138 min,Shutter Island,956400,2010
