genre,gross,rate,runtime,title,vote,yr
"Comedy, Family",$285.76M,7.5,103 min,Home Alone,379718,1990
"Action, Adventure, Mystery",$424.67M,7.5,146 min,The Hunger Games: Catching Fire,558847,2013
"Comedy, Fantasy, Romance",$70.91M,8.0,101 min,Groundhog Day,520695,1993
Drama,None,7.8,111 min,Rebel Without a Cause,73518,1955
"Biography, Crime, Drama",$53.27M,8.0,151 min,Papillon,108098,1973
"Action, Adventure, Drama",$50.87M,7.8,139 min,Apocalypto,263683,2006
"Drama, History, War",$108.64M,7.7,144 min,Black Hawk Down,328630,2001
Drama,$16.50M,8.2,94 min,Trainspotting,568203,1996
"Adventure, Drama, Thriller",None,7.7,109 min,Deliverance,88055,1972
"Comedy, Drama, Romance",$57.60M,8.6,116 min,Life Is Beautiful,522079,1997
"Animation, Adventure, Comedy",$289.92M,8.1,92 min,"Monsters, Inc.",704785,2001
"Comedy, Drama, Romance",$8.70M,7.1,119 min,The Lobster,160016,2015
"Drama, Fantasy, Romance",$42.48M,7.2,112 min,The Age of Adaline,130847,2015
"Comedy, Drama, Romance",$132.09M,7.7,122 min,Silver Linings Playbook,602135,2012
"Action, Drama, Sci-Fi",$70.51M,8.2,132 min,V for Vendetta,920443,2005
"Animation, Adventure, Comedy",$267.67M,7.9,90 min,Shrek,535853,2001
"Biography, Drama, Family",$163.21M,8.0,172 min,The Sound of Music,172987,1965
"Crime, Drama, Thriller",$32.38M,7.9,117 min,Nightcrawler,381401,2014
"Drama, Sport",$13.66M,8.2,140 min,Warrior,390112,2011
Comedy,$10.82M,7.8,89 min,Office Space,220895,1999
"Adventure, Comedy, Drama",$10.68M,7.7,118 min,Fear and Loathing in Las Vegas,235923,1998
"Drama, Romance",$2.53M,7.2,115 min,The Dreamers,96316,2003
"Animation, Adventure, Comedy",$200.82M,7.8,100 min,Tangled,347751,2010
"Comedy, Drama, Romance",$6.85M,7.1,95 min,The Spectacular Now,128496,2013
"Action, Adventure, Thriller",$180.98M,7.1,110 min,Mission: Impossible,346100,1996
"Action, Crime, Drama",$26.86M,7.6,102 min,Hell or High Water,160822,2016
"Animation, Adventure, Comedy",$237.28M,7.1,93 min,Brave,321803,2012
"Crime, Drama, Thriller",$58.01M,7.3,118 min,The Lincoln Lawyer,191408,2011
"Comedy, Romance",$109.45M,7.1,116 min,The 40-Year-Old Virgin,350694,2005
"Action, Crime, Thriller",$353.01M,7.2,137 min,Furious 7,325212,2015
"Action, Adventure, Sci-Fi",$8.75M,7.0,88 min,Mad Max,171442,1979
"Horror, Mystery, Thriller",$41.60M,7.0,123 min,Orphan,169264,2009
"Action, Adventure, Drama",$146.88M,7.5,140 min,War for the Planet of the Apes,184964,2017
"Biography, Drama",$96.96M,7.7,120 min,The Social Network,550398,2010
"Action, Drama, Mystery",$27.11M,7.5,172 min,Cloud Atlas,318224,2012
"Action, Adventure, Mystery",$89.02M,7.0,124 min,Oblivion,439032,2013
"Animation, Adventure, Comedy",$104.40M,7.1,97 min,The Princess and the Frog,104288,2009
"Comedy, Drama",$115.00M,7.5,110 min,American Graffiti,72243,1973
"Comedy, Drama",$27.47M,7.3,91 min,Friday,86966,1995
"Crime, Mystery, Thriller",$117.72M,7.3,115 min,Now You See Me,532851,2013
"Crime, Drama, Mystery",$88.51M,7.6,129 min,Inside Man,304491,2006
"Biography, Crime, Drama",$1.87M,7.0,132 min,Legend,129908,2015
"Animation, Drama, Fantasy",$75.29M,7.7,100 min,Coraline,172079,2009
Comedy,$71.32M,7.6,97 min,National Lampoon's Christmas Vacation,124810,1989
"Adventure, Drama, Family",$20.16M,7.4,102 min,The NeverEnding Story,114492,1984
"Drama, Mystery, Thriller",$48.32M,7.8,129 min,The Game,302815,1997
Drama,$47.70M,7.8,137 min,Manchester by the Sea,196872,2016
"Action, Sci-Fi, Thriller",$119.39M,7.5,113 min,Total Recall,269747,1990
"Adventure, Drama, Western",$171.24M,7.6,110 min,True Grit,272643,2010
"Biography, Drama, Sport",$115.65M,7.8,113 min,Remember the Titans,179423,2000
"Comedy, Crime, Drama",$60.36M,7.0,96 min,Burn After Reading,277485,2008
"Action, Adventure, Horror",$202.36M,7.0,116 min,World War Z,534120,2013
"Action, Adventure, Sci-Fi",$54.81M,7.2,129 min,Starship Troopers,244690,1997
"Drama, Romance",$83.04M,7.7,134 min,Brokeback Mountain,290239,2005
"Comedy, Drama, Romance",$153.95M,7.3,139 min,Jerry Maguire,215259,1996
"Adventure, Fantasy",$255.12M,7.4,144 min,The Hobbit: The Battle of the Five Armies,421469,2014
Drama,$44.59M,7.8,102 min,Lost in Translation,362782,2003
"Drama, Thriller",$11.29M,8.4,137 min,The Lives of Others,308818,2006
"Action, Adventure, Drama",$75.51M,7.8,112 min,The Last of the Mohicans,131246,1992
"Drama, Horror",$105.26M,7.6,123 min,Interview with the Vampire: The Vampire Chronicles,266621,1994
"Action, Crime, Thriller",$66.21M,8.0,137 min,Kill Bill: Vol. 2,587932,2004
"Drama, War",$0.08M,7.8,137 min,Beasts of No Nation,59370,2015
"Animation, Action, Adventure",$222.53M,7.8,102 min,Big Hero 6,347179,2014
"Action, Adventure, Comedy",$110.52M,7.0,107 min,Tropic Thunder,342430,2008
"Action, Adventure, Thriller",$122.01M,7.6,135 min,The Hunt for Red October,159548,1990
Horror,None,7.1,99 min,Martyrs,71124,2008
"Animation, Adventure, Comedy",$40.44M,7.9,103 min,Paddington 2,35954,2017
"Crime, Drama, Thriller",None,7.3,121 min,Shot Caller,51214,2017
"Comedy, Horror",$13.54M,7.9,99 min,Shaun of the Dead,452113,2004
"Action, Adventure, Sci-Fi",$214.95M,7.5,134 min,X2,463864,2003
"Adventure, Comedy",$61.40M,7.4,98 min,National Lampoon's Vacation,82956,1983
"Animation, Adventure, Comedy",$380.84M,8.1,100 min,Finding Nemo,829598,2003
"Action, Crime, Horror",$25.75M,7.3,108 min,From Dusk Till Dawn,249884,1996
"Animation, Comedy, Family",$251.51M,7.7,95 min,Despicable Me,445510,2010
"Drama, Horror, Thriller",$3.19M,7.6,120 min,La piel que habito,118809,2011
"Crime, Drama, Mystery",$33.08M,7.7,157 min,Zodiac,371363,2007
"Action, Drama, Romance",$40.07M,7.1,124 min,Allied,115709,2016
"Drama, Romance",$124.87M,7.8,126 min,The Fault in Our Stars,300908,2014
"Drama, Romance",$9.74M,7.4,112 min,Blue Valentine,164158,2010
"Comedy, Horror",$3.33M,7.6,86 min,What We Do in the Shadows,112590,2014
"Biography, Crime, Drama",$130.16M,7.8,157 min,American Gangster,356326,2007
Western,$5.32M,8.5,165 min,Once Upon a Time in the West,259338,1968
"Adventure, Drama, Horror",None,7.1,132 min,Bone Tomahawk,62461,2015
"Drama, Romance",$41.23M,7.4,101 min,A Walk to Remember,182809,2002
"Action, Comedy, Crime",$110.83M,7.0,119 min,Spy,206914,2015
"Action, Adventure, Sci-Fi",$25.51M,7.9,119 min,Serenity,263554,2005
"Animation, Adventure, Comedy",$217.35M,8.0,90 min,Aladdin,305340,1992
"Drama, History, Romance",$198.68M,8.2,238 min,Gone with the Wind,254410,1939
"Horror, Mystery, Thriller",$56.00M,7.6,103 min,Saw,341463,2004
"Drama, Sport",$70.27M,7.2,102 min,Rocky Balboa,182413,2006
"Drama, Fantasy, Romance",$127.51M,7.8,166 min,The Curious Case of Benjamin Button,521097,2008
"Action, Adventure, Thriller",$134.07M,7.4,136 min,The Rock,285208,1996
Drama,$5.90M,7.6,111 min,The Florida Project,59801,2017
"Crime, Drama, Thriller",$54.58M,7.8,112 min,Crash,392652,2004
"Adventure, Comedy, Sci-Fi",$118.50M,7.8,108 min,Back to the Future Part II,404136,1989
"Biography, Drama",$27.30M,8.0,117 min,Dallas Buyers Club,386853,2013
"Horror, Thriller",$3.22M,7.0,95 min,Green Room,81402,2015
"Comedy, Drama",$95.86M,8.1,128 min,Dead Poets Society,345771,1989
"Mystery, Thriller",$52.16M,7.3,90 min,Identity,202667,2003
"Drama, Romance, Thriller",$2.01M,8.1,144 min,Ah-ga-ssi,67066,2016
"Drama, Fantasy, Romance",$56.36M,7.9,105 min,Edward Scissorhands,401918,1990
"Drama, War",$48.98M,8.1,183 min,The Deer Hunter,274314,1978
"Action, Adventure, Drama",$47.40M,7.2,144 min,Kingdom of Heaven,243443,2005
"Crime, Drama, Thriller",$21.38M,7.3,140 min,The Place Beyond the Pines,218571,2012
"Fantasy, Horror, Mystery",$101.07M,7.4,105 min,Sleepy Hollow,297220,1999
"Drama, Sci-Fi, Thriller",$35.55M,7.9,109 min,Children of Men,411769,2006
"Biography, Drama",$125.07M,7.5,96 min,Sully,185620,2016
"Animation, Action, Adventure",$257.76M,7.8,100 min,The Lego Movie,289939,2014
"Action, Crime, Drama",$144.80M,7.1,115 min,"I, Robot",447202,2004
"Adventure, Drama, Romance",$233.63M,7.8,143 min,Cast Away,455043,2000
"Mystery, Sci-Fi, Thriller",$79.25M,7.4,105 min,Limitless,475371,2011
"Drama, Romance, War",$1.02M,8.5,102 min,Casablanca,456436,1942
"Drama, Thriller",$95.72M,7.4,157 min,Zero Dark Thirty,242635,2012
"Action, Adventure, Fantasy",$75.75M,7.0,120 min,Hellboy II: The Golden Army,232029,2008
"Action, Crime, Drama",$34.39M,7.0,113 min,The Foreigner,71691,2017
"Comedy, Drama, Romance",$83.76M,7.2,117 min,Steel Magnolias,40084,1989
"Action, Comedy, Crime",$191.72M,7.0,112 min,22 Jump Street,307209,2014
"Action, Adventure, Thriller",$106.60M,7.2,130 min,GoldenEye,217227,1995
"Crime, Drama, Mystery",$64.62M,8.3,138 min,L.A. Confidential,476928,1997
"Drama, Romance",$22.91M,7.3,119 min,Revolutionary Road,171699,2008
Horror,$2.40M,7.5,85 min,The Evil Dead,163222,1981
"Comedy, Drama",$14.26M,7.4,104 min,The Edge of Seventeen,77200,2016
"Adventure, Comedy, Crime",$57.23M,7.9,133 min,The Blues Brothers,162026,1980
"Drama, Romance, War",$66.64M,7.5,133 min,Legends of the Fall,128082,1994
"Animation, Adventure, Comedy",$89.30M,7.3,78 min,The Emperor's New Groove,152406,2000
"Action, Adventure, Fantasy",$309.13M,8.3,131 min,Star Wars: Episode VI - Return of the Jedi,825568,1983
"Action, Crime, Drama",$66.49M,7.4,113 min,Looper,484492,2012
"Adventure, Comedy",$18.23M,7.1,88 min,Harold &amp; Kumar Go to White Castle,168635,2004
Drama,$0.69M,8.3,115 min,The Hunt,226964,2012
"Drama, Horror, Sci-Fi",$256.39M,7.2,101 min,I Am Legend,612245,2007
"Comedy, Crime, Drama",$7.76M,7.9,107 min,In Bruges,350422,2008
"Action, Adventure, Biography",$43.48M,7.1,121 min,Everest,174015,2015
"Animation, Adventure, Comedy",$99.05M,7.3,93 min,Hercules,172667,1997
"Biography, Drama, History",$102.61M,7.5,170 min,The Aviator,298168,2004
"Drama, Romance",$33.99M,7.3,104 min,Closer,185365,2004
"Adventure, Drama, Fantasy",$66.26M,8.0,125 min,Big Fish,381510,2003
"Comedy, Drama, Romance",$42.87M,7.6,120 min,The Big Sick,94228,2017
"Drama, War",$138.53M,8.1,120 min,Platoon,339529,1986
"Drama, Sci-Fi, Thriller",$274.09M,7.7,91 min,Gravity,678358,2013
"Biography, Drama, Thriller",$21.59M,7.3,134 min,Snowden,109362,2016
"Animation, Adventure, Comedy",$415.00M,8.3,103 min,Toy Story 3,650549,2010
"Drama, History, Thriller",$19.02M,7.6,114 min,The Impossible,170780,2012
"Comedy, Romance",$33.23M,8.3,122 min,Amélie,627835,2001
"Adventure, Biography, Drama",$44.82M,8.3,216 min,Lawrence of Arabia,231534,1962
Drama,$9.17M,7.8,118 min,What's Eating Gilbert Grape,191650,1993
Drama,$370.78M,7.2,127 min,The Passion of the Christ,196240,2004
Comedy,$83.40M,7.8,88 min,Airplane!,183681,1980
"Biography, Drama",$51.69M,8.1,118 min,Lion,166582,2016
"Action, Adventure, Crime",$186.85M,7.5,129 min,Sherlock Holmes: A Game of Shadows,381791,2011
"Crime, Drama, Thriller",$2.01M,7.3,101 min,Good Time,44542,2017
"Drama, Mystery, Thriller",$43.77M,7.1,108 min,The Gift,116633,VI) (2015
"Drama, Sport",$100.49M,8.1,132 min,Million Dollar Baby,565914,2004
"Drama, Horror, Sci-Fi",$45.06M,7.6,113 min,28 Days Later...,335600,2002
"Drama, Romance",$38.32M,7.5,117 min,Brooklyn,110872,2015
"Adventure, Comedy, Mystery",$250.69M,7.3,98 min,Men in Black,458076,1997
"Comedy, Fantasy, Romance",$56.82M,7.7,94 min,Midnight in Paris,345189,2011
"Crime, Drama",$66.67M,7.6,162 min,The Godfather: Part III,316141,1990
"Crime, Drama, Thriller",$124.12M,7.6,147 min,Traffic,182785,2000
"Comedy, Drama, Family",$107.53M,7.2,128 min,A League of Their Own,81176,1992
"Animation, Adventure, Comedy",$206.45M,8.0,111 min,Ratatouille,549717,2007
"Drama, Romance",$83.82M,7.4,109 min,Up in the Air,294170,2009
"Adventure, Comedy, Sci-Fi",$38.12M,7.1,96 min,Spaceballs,153921,1987
"Comedy, Romance",$128.15M,7.0,116 min,Coming to America,139488,1988
"Action, Crime, Thriller",$145.00M,7.8,93 min,Taken,526650,2008
"Drama, Sport",$52.42M,7.4,124 min,Southpaw,190965,2015
"Adventure, Family, Fantasy",$12.73M,7.4,101 min,Labyrinth,108949,1986
"Crime, Drama, Thriller",$61.28M,7.8,107 min,Misery,157340,1990
"Drama, Romance",$12.71M,7.2,118 min,Carol,93634,2015
"Action, Adventure, Sci-Fi",$12.47M,7.6,94 min,The Road Warrior,150522,1981
"Crime, Drama",$37.40M,7.3,116 min,Lawless,208078,2012
"Adventure, Drama, History",$7.08M,7.2,161 min,Silence,79061,2016
"Biography, Drama, History",$138.80M,8.0,118 min,The King's Speech,572946,2010
"Drama, Thriller",$1.08M,7.7,101 min,The Machinist,319924,2004
"Action, Horror, Sci-Fi",$80.05M,7.0,85 min,Cloverfield,341277,2008
"Animation, Family, Fantasy",$218.97M,8.0,84 min,Beauty and the Beast,374476,1991
"Biography, Drama",$163.57M,8.0,117 min,The Pursuit of Happyness,390794,2006
"Adventure, Fantasy",$258.37M,7.9,161 min,The Hobbit: The Desolation of Smaug,548742,2013
"Crime, Drama, Thriller",$76.27M,7.9,119 min,The Untouchables,246421,1987
Comedy,$127.18M,7.3,107 min,Dumb and Dumber,320023,1994
"Action, Adventure, Fantasy",$197.17M,8.3,127 min,Indiana Jones and the Last Crusade,606880,1989
"Action, Crime, Thriller",$22.49M,7.7,92 min,The Warriors,82554,1979
"Drama, Romance",$31.97M,7.5,111 min,Leaving Las Vegas,103604,1995
"Biography, Drama",$4.21M,7.0,119 min,Stronger,27752,2017
"Biography, Drama, History",$182.21M,7.4,150 min,Lincoln,222446,2012
"Drama, Mystery",$1.59M,8.4,119 min,Citizen Kane,349913,1941
"Crime, Drama, Mystery",$39.02M,7.2,113 min,Fracture,162868,2007
"Action, Crime, Sci-Fi",$53.42M,7.5,102 min,RoboCop,207401,1987
"Comedy, Drama",$75.76M,7.1,121 min,The Intern,182372,2015
"Crime, Thriller",$79.10M,7.3,128 min,Cape Fear,146911,1991
"Animation, Action, Adventure",$217.58M,8.1,98 min,How to Train Your Dragon,580086,2010
"Crime, Drama, Mystery",$20.30M,7.7,114 min,Gone Baby Gone,225549,2007
"Drama, Mystery, War",$6.86M,8.2,131 min,Incendies,114975,2010
"Action, Crime, Thriller",$65.21M,7.6,110 min,Lethal Weapon,213586,1987
"Action, Adventure, Western",$4.91M,7.8,128 min,The Magnificent Seven,78167,1960
"Action, Adventure, Fantasy",$423.32M,7.3,151 min,Pirates of the Caribbean: Dead Man's Chest,593926,2006
"Biography, Crime, Drama",$97.10M,7.0,140 min,Public Enemies,254558,2009
"Comedy, Horror, Sci-Fi",$14.24M,7.4,91 min,The Return of the Living Dead,46181,1985
"Action, Adventure, Fantasy",$380.26M,7.6,140 min,Star Wars: Episode III - Revenge of the Sith,614376,2005
"Animation, Family, Fantasy",$111.54M,7.6,83 min,The Little Mermaid,202251,1989
Drama,$148.10M,8.1,116 min,Gran Torino,647946,2008
"Action, Crime, Thriller",$238.68M,7.1,130 min,Furious 6,337729,2013
"Biography, Drama, Sport",$75.61M,7.6,133 min,Moneyball,316262,2011
"Comedy, Drama",$6.53M,8.4,170 min,3 Idiots,282293,2009
"Action, Biography, Drama",$125.10M,7.5,121 min,Lone Survivor,238070,2013
"Comedy, Drama",$1.50M,7.3,151 min,The Square,37522,2017
"Biography, Drama, History",$51.97M,8.3,160 min,Amadeus,322672,1984
"Action, Thriller",$117.54M,7.1,124 min,Die Hard 2,302572,1990
"Comedy, Drama, Family",$32.42M,7.8,101 min,The Sandlot,68281,1993
"Drama, Romance",$141.32M,8.0,120 min,Slumdog Millionaire,722999,2008
"Drama, Horror, Mystery",$26.12M,7.5,113 min,Jacob's Ladder,86950,1990
"Animation, Adventure, Family",$223.81M,8.4,98 min,WALL·E,864753,2008
"Biography, Drama, History",$5.51M,8.2,156 min,Downfall,293042,2004
"Biography, Drama, History",$12.71M,7.1,119 min,The Danish Girl,136266,2015
"Adventure, Drama, Sci-Fi",$78.62M,7.1,146 min,A.I. Artificial Intelligence,267637,2001
"Action, Adventure, Drama",None,7.3,120 min,Okja,64658,2017
"Action, Adventure, Crime",$132.07M,7.7,145 min,Minority Report,454075,2002
"Crime, Drama, Thriller",$76.63M,7.7,122 min,Training Day,345027,2001
"Drama, Mystery, Thriller",$29.20M,8.2,130 min,Chinatown,255406,1974
"Crime, Drama, Mystery",None,7.3,128 min,Murder on the Orient Express,47545,1974
"Drama, Romance",$57.55M,7.4,126 min,The Cider House Rules,86090,1999
"Crime, Drama",$42.44M,8.2,178 min,Casino,397045,1995
"Biography, Drama, Romance",$35.89M,7.7,123 min,The Theory of Everything,339872,2014
"Animation, Adventure, Comedy",$436.47M,7.2,93 min,Shrek 2,362721,2004
"Family, Fantasy, Musical",$4.00M,7.8,100 min,Willy Wonka &amp; the Chocolate Factory,152689,1971
"Crime, Drama, Mystery",$90.14M,8.0,138 min,Mystic River,377139,2003
"Mystery, Sci-Fi, Thriller",$127.00M,7.0,112 min,Super 8,313733,2011
"Biography, Drama, History",$161.20M,7.9,147 min,Straight Outta Compton,159068,2015
"Crime, Drama",None,7.1,132 min,Brawl in Cell Block 99,37299,2017
"Animation, Adventure, Family",$120.62M,7.6,88 min,Mulan,209957,1998
"Drama, Romance",$11.24M,7.4,120 min,Jane Eyre,72311,2011
"Biography, Drama, Thriller",$107.10M,7.8,134 min,Captain Phillips,374311,2013
"Biography, Crime, Drama",$102.31M,8.1,110 min,Butch Cassidy and the Sundance Kid,180407,1969
"Comedy, Sport",$38.62M,7.0,92 min,Happy Gilmore,175059,1996
"Comedy, Crime, Mystery",$18.49M,7.1,100 min,Super Troopers,88383,2001
"Comedy, Drama",$82.58M,7.3,115 min,The Descendants,219772,2011
Drama,$7.42M,7.0,91 min,Kids,65786,1995
"Drama, Family, Fantasy",$7.27M,8.6,130 min,It's a Wonderful Life,336140,1946
"Crime, Drama, Musical",$43.66M,7.6,153 min,West Side Story,84080,1961
"Mystery, Romance, Sci-Fi",$54.71M,7.5,93 min,Source Code,437243,2011
"Drama, Romance, War",$78.65M,7.4,162 min,The English Patient,160759,1996
"Comedy, Drama, Romance",$77.87M,7.3,128 min,The Terminal,351265,2004
"Drama, Horror, Thriller",$0.11M,7.3,94 min,Kynodontas,62223,2009
Drama,$4.00M,7.2,101 min,Shame,166487,2011
"Comedy, Romance",$148.73M,7.0,129 min,Knocked Up,324182,2007
"Animation, Action, Adventure",$48.02M,7.8,101 min,Kubo and the Two Strings,97682,2016
"Action, Crime, Drama",$31.89M,7.4,133 min,Patriots Day,69675,2016
"Drama, Mystery, Sci-Fi",$5.01M,7.9,97 min,Moon,301550,2009
"Drama, Thriller",$141.34M,7.7,138 min,A Few Good Men,207339,1992
"Action, Adventure, Drama",$134.22M,7.3,143 min,Superman,142967,1978
"Drama, Thriller, War",$17.02M,7.6,131 min,The Hurt Locker,379307,2008
"Drama, Fantasy, Romance",$0.00M,7.9,141 min,Mr. Nobody,188546,2009
"Mystery, Romance, Thriller",$3.20M,8.3,128 min,Vertigo,304840,1958
"Drama, Mystery, Sci-Fi",$0.07M,7.5,97 min,Predestination,214876,2014
"Comedy, Crime, Drama",$159.60M,8.3,129 min,The Sting,210158,1973
"Animation, Adventure, Comedy",$145.79M,7.2,85 min,Lilo &amp; Stitch,142244,2002
"Biography, Crime, Drama",$52.99M,7.6,124 min,Blow,218533,2001
"Crime, Drama, Thriller",$93.15M,7.2,124 min,Red Dragon,225151,2002
"Action, Sci-Fi",$281.49M,7.2,138 min,The Matrix Reloaded,464627,2003
"Mystery, Sci-Fi, Thriller",$57.14M,8.0,129 min,Twelve Monkeys,527550,1995
"Biography, Drama, History",$12.79M,7.2,115 min,The Founder,87135,2016
"Horror, Mystery",$129.13M,7.1,115 min,The Ring,288942,2002
"Comedy, Romance",$0.01M,7.2,102 min,"Love, Rosie",96432,2014
"Biography, Drama, Thriller",$136.03M,7.7,120 min,Argo,518352,2012
"Comedy, Crime",$3.90M,8.2,107 min,"Lock, Stock and Two Smoking Barrels",477129,1998
"Comedy, Drama",$143.50M,7.5,96 min,Juno,455311,2007
"Comedy, Drama, Fantasy",$22.86M,7.8,112 min,Being John Malkovich,281272,1999
"Drama, Family, Romance",$50.08M,7.3,115 min,Little Women,41823,1994
Drama,$57.64M,7.2,139 min,Fences,79042,2016
"Drama, Romance",$12.55M,7.2,133 min,The Light Between Oceans,42076,2016
"Comedy, Drama, Romance",$116.09M,7.1,124 min,Notting Hill,234232,1999
"Biography, History, Thriller",$2.96M,7.2,120 min,Anthropoid,35315,2016
"Biography, Crime, Drama",$34.47M,7.3,109 min,Monster,120543,2003
"Comedy, Drama, Romance",$4.06M,7.0,107 min,Secretary,75313,2002
"Animation, Action, Comedy",$175.75M,7.3,104 min,The Lego Batman Movie,104908,2017
"Action, Crime, Sci-Fi",$112.23M,7.3,138 min,Face/Off,316068,1997
"Comedy, Fantasy, Horror",$148.17M,7.2,106 min,Gremlins,168539,1984
"Crime, Drama, Thriller",$101.01M,7.5,120 min,Collateral,326301,2004
"Drama, Horror",None,8.0,137 min,Rosemary's Baby,162513,1968
"Horror, Thriller",$76.61M,7.4,114 min,Poltergeist,123359,1982
"Drama, Sci-Fi",$8.40M,7.2,113 min,Nineteen Eighty-Four,57812,1984
"Drama, Romance",$34.19M,7.6,124 min,The Reader,212056,2008
Comedy,$0.28M,8.4,95 min,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,400098,1964
"Crime, Drama, Thriller",$73.34M,7.4,109 min,Law Abiding Citizen,243449,2009
"Adventure, Comedy",$53.88M,7.0,89 min,Austin Powers: International Man of Mystery,200775,1997
"Drama, Musical, Romance",$57.39M,7.6,127 min,Moulin Rouge!,246153,2001
"Action, Horror, Sci-Fi",$13.01M,7.3,94 min,They Live,90523,1988
"Animation, Adventure, Family",$4.71M,8.2,119 min,Howl's Moving Castle,267913,2004
"Crime, Drama, Romance",$9.25M,7.6,153 min,Lolita,79491,1962
"Crime, Drama",$50.28M,7.3,118 min,Natural Born Killers,194184,1994
"Drama, Romance",$43.18M,7.7,136 min,Sense and Sensibility,88678,1995
"Crime, Drama, Mystery",$10.10M,7.8,152 min,The Girl with the Dragon Tattoo,192087,2009
"Mystery, Thriller",$36.76M,8.5,112 min,Rear Window,380099,1954
"Action, Drama, Sci-Fi",$4.56M,7.0,126 min,Snowpiercer,224871,2013
"Adventure, Comedy, Drama",$58.24M,7.3,114 min,The Secret Life of Walter Mitty,267825,2013
"Animation, Adventure, Comedy",$486.30M,7.3,97 min,Finding Dory,199392,2016
"Drama, Mystery, Thriller",$60.98M,7.5,144 min,The Devil's Advocate,292185,1997
"Action, Biography, Drama",$26.95M,8.1,123 min,Rush,377839,2013
Horror,$30.86M,7.5,83 min,The Texas Chain Saw Massacre,115024,1974
"Crime, Drama, Thriller",$104.45M,7.7,117 min,Road to Perdition,222721,2002
"Drama, Fantasy",$0.34M,7.3,161 min,Enter the Void,56772,2009
"Adventure, Comedy, Crime",$45.51M,7.8,107 min,"O Brother, Where Art Thou?",254413,2000
"Action, Adventure, Thriller",$16.07M,7.3,110 min,Dr. No,129989,1962
Drama,$22.46M,8.0,188 min,Magnolia,263896,1999
"Action, Fantasy, Thriller",$51.97M,7.0,121 min,Underworld,233534,2003
"Comedy, Drama",$59.89M,7.8,101 min,Little Miss Sunshine,397859,2006
"Animation, Biography, Crime",$6.74M,7.8,94 min,Loving Vincent,32897,2017
"Crime, Drama, Fantasy",$2.22M,7.5,147 min,Perfume: The Story of a Murderer,212604,2006
"Crime, Drama, History",$16.79M,7.4,143 min,Detroit,35473,2017
"Action, Crime, Fantasy",$162.83M,7.0,126 min,Batman Returns,244154,1992
"Drama, Thriller",$93.77M,7.3,138 min,Flight,293364,2012
"Action, Drama, History",$113.33M,7.2,165 min,The Patriot,230639,2000
"Drama, Horror, Sci-Fi",$40.46M,7.5,96 min,The Fly,138901,1986
"Comedy, Drama",$56.20M,7.2,105 min,The Big Chill,28996,1983
"Drama, War",None,7.4,134 min,Mudbound,29202,2017
"Horror, Sci-Fi, Thriller",$25.59M,7.2,126 min,The Mist,252547,2007
"Comedy, Drama, Romance",$32.39M,7.7,95 min,(500) Days of Summer,427917,2009
"Drama, Horror, Sci-Fi",$28.64M,7.0,100 min,28 Weeks Later,235406,2007
"Adventure, Comedy, Sci-Fi",$87.73M,7.4,118 min,Back to the Future Part III,340368,1990
"Action, Crime, Drama",$77.91M,7.7,146 min,Man on Fire,297897,2004
"Drama, Fantasy, Horror",$12.13M,7.1,116 min,Let Me In,104042,2010
"Crime, Drama, Thriller",$49.10M,7.6,147 min,Sleepers,170706,1996
"Action, Comedy, Fantasy",$3.77M,7.1,79 min,The Monster Squad,23331,1987
"Drama, Romance",$13.84M,7.0,107 min,One Day,123389,2011
"Comedy, Crime, Musical",$170.69M,7.2,113 min,Chicago,194978,2002
"Action, Drama, History",$61.28M,7.1,107 min,Deepwater Horizon,124591,2016
"Action, Drama, History",$111.11M,7.7,154 min,The Last Samurai,358275,2003
"Adventure, Comedy, Drama",$30.64M,7.3,114 min,Chef,167176,2014
"Sci-Fi, Thriller",$57.94M,7.7,113 min,The Butterfly Effect,406840,2004
"Crime, Drama, Mystery",$56.12M,7.7,129 min,Primal Fear,155571,1996
"Drama, Mystery, Sci-Fi",$100.92M,7.4,150 min,Contact,228367,1997
"Animation, Comedy, Family",$127.81M,7.1,107 min,Enchanted,160493,2007
"Action, Adventure",$179.87M,7.6,118 min,Indiana Jones and the Temple of Doom,386207,1984
"Action, Drama, Fantasy",$50.69M,7.6,102 min,The Crow,151082,1994
"Adventure, Comedy, Fantasy",$1.23M,8.3,91 min,Monty Python and the Holy Grail,442939,1975
"Adventure, Drama, Romance",$0.66M,7.0,163 min,American Honey,28711,2016
"Adventure, Comedy, Drama",$64.51M,7.0,100 min,A Dog's Purpose,47401,2017
"Drama, Mystery, Thriller",$24.15M,7.1,122 min,Tinker Tailor Soldier Spy,169606,2011
"Action, Mystery, Thriller",$121.66M,7.9,119 min,The Bourne Identity,462072,2002
"Crime, Drama, Thriller",$108.77M,7.4,149 min,A Time to Kill,115067,1996
"Action, Comedy, Crime",$4.24M,7.6,103 min,Kiss Kiss Bang Bang,197419,2005
"Drama, Mystery, Romance",$6.39M,8.2,129 min,The Secret in Their Eyes,165044,2009
"Animation, Adventure, Comedy",$368.06M,7.4,98 min,Despicable Me 2,330818,2013
"Sci-Fi, Thriller",$115.65M,7.9,112 min,District 9,588667,2009
"Drama, Mystery, Thriller",$8.55M,7.8,120 min,Blue Velvet,156193,1986
