genre,gross,rate,runtime,title,vote,yr,titleClean,cleanTitleSpot
"Action, Crime, Drama",$107.83M,7.6,112 min,Baby Driver,326291,2017,Baby Driver,Baby Driver
"Drama, Family",$132.42M,8.0,113 min,Wonder,89008,2017,Wonder,Wonder
"Horror, Mystery, Thriller",$102.47M,7.4,134 min,The Conjuring 2,177196,2016,The Conjuring 2,The Conjuring 2
"Biography, Comedy, Crime",$116.90M,8.2,180 min,The Wolf of Wall Street,977113,2013,The Wolf of Wall Street,The Wolf of Wall Street
"Action, Adventure, Sci-Fi",$459.01M,7.4,141 min,Avengers: Age of Ultron,606397,2015,Avengers: Age of Ultron,Avengers Age of Ultron
"Action, Adventure, Drama",$187.71M,8.5,155 min,Gladiator,1156323,2000,Gladiator,Gladiator
"Action, Drama, History",$188.37M,8.0,106 min,Dunkirk,420769,2017,Dunkirk,Dunkirk
"Drama, Sport",$109.77M,7.6,133 min,Creed,201981,2015,Creed,Creed
"Adventure, Drama, War",$120.54M,8.3,153 min,Inglourious Basterds,1066545,2009,Inglourious Basterds,Inglourious Basterds
"Adventure, Drama, Fantasy",$315.54M,8.8,178 min,The Lord of the Rings: The Fellowship of the Ring,1441612,2001,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings The Fellowship of the Ring
"Adventure, Comedy, Family",$61.50M,7.8,114 min,The Goonies,207600,1985,The Goonies,The Goonies
"Horror, Thriller",$138.29M,7.3,117 min,Split,286162,X) (2016,Split,Split
"Action, Adventure, Sci-Fi",$403.71M,7.3,121 min,Spider-Man,617131,2002,Spider-Man,SpiderMan
Comedy,$0.20M,7.6,109 min,Animal House,101805,1978,Animal House,Animal House
"Drama, Thriller",$14.68M,8.2,118 min,Room,288436,2015,Room,Room
"Crime, Drama, Mystery",$167.77M,8.1,149 min,Gone Girl,721601,2014,Gone Girl,Gone Girl
"Action, Adventure, Sci-Fi",$652.27M,7.0,124 min,Jurassic World,515098,2015,Jurassic World,Jurassic World
"Action, Adventure, Fantasy",$232.64M,7.5,115 min,Doctor Strange,450795,2016,Doctor Strange,Doctor Strange
"Drama, Romance, Sci-Fi",$25.57M,8.0,126 min,Her,441212,2013,Her,Her
"Animation, Adventure, Comedy",$248.76M,7.6,107 min,Moana,203111,2016,Moana,Moana
"Action, Adventure, Sci-Fi",$153.64M,8.1,120 min,Mad Max: Fury Road,736489,2015,Mad Max: Fury Road,Mad Max Fury Road
"Crime, Drama",$46.84M,8.7,146 min,Goodfellas,862391,1990,Goodfellas,Goodfellas
