genre,gross,rate,runtime,title,vote,yr,titleClean,cleanTitleSpot
"Animation, Family, Fantasy",$218.97M,8.0,84 min,Beauty and the Beast,374476,1991,Beauty and the Beast,Beauty and the Beast
"Biography, Drama",$163.57M,8.0,117 min,The Pursuit of Happyness,390794,2006,The Pursuit of Happyness,The Pursuit of Happyness
"Adventure, Fantasy",$258.37M,7.9,161 min,The Hobbit: The Desolation of Smaug,548742,2013,The Hobbit: The Desolation of Smaug,The Hobbit The Desolation of Smaug
"Crime, Drama, Thriller",$76.27M,7.9,119 min,The Untouchables,246421,1987,The Untouchables,The Untouchables
Comedy,$127.18M,7.3,107 min,Dumb and Dumber,320023,1994,Dumb and Dumber,Dumb and Dumber
"Action, Adventure, Fantasy",$197.17M,8.3,127 min,Indiana Jones and the Last Crusade,606880,1989,Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade
"Action, Crime, Thriller",$22.49M,7.7,92 min,The Warriors,82554,1979,The Warriors,The Warriors
"Drama, Romance",$31.97M,7.5,111 min,Leaving Las Vegas,103604,1995,Leaving Las Vegas,Leaving Las Vegas
"Biography, Drama",$4.21M,7.0,119 min,Stronger,27752,2017,Stronger,Stronger
"Biography, Drama, History",$182.21M,7.4,150 min,Lincoln,222446,2012,Lincoln,Lincoln
"Drama, Mystery",$1.59M,8.4,119 min,Citizen Kane,349913,1941,Citizen Kane,Citizen Kane
"Crime, Drama, Mystery",$39.02M,7.2,113 min,Fracture,162868,2007,Fracture,Fracture
"Action, Crime, Sci-Fi",$53.42M,7.5,102 min,RoboCop,207401,1987,RoboCop,RoboCop
"Comedy, Drama",$75.76M,7.1,121 min,The Intern,182372,2015,The Intern,The Intern
"Crime, Thriller",$79.10M,7.3,128 min,Cape Fear,146911,1991,Cape Fear,Cape Fear
"Animation, Action, Adventure",$217.58M,8.1,98 min,How to Train Your Dragon,580086,2010,How to Train Your Dragon,How to Train Your Dragon
"Crime, Drama, Mystery",$20.30M,7.7,114 min,Gone Baby Gone,225549,2007,Gone Baby Gone,Gone Baby Gone
"Drama, Mystery, War",$6.86M,8.2,131 min,Incendies,114975,2010,Incendies,Incendies
"Action, Crime, Thriller",$65.21M,7.6,110 min,Lethal Weapon,213586,1987,Lethal Weapon,Lethal Weapon
"Action, Adventure, Western",$4.91M,7.8,128 min,The Magnificent Seven,78167,1960,The Magnificent Seven,The Magnificent Seven
"Action, Adventure, Fantasy",$423.32M,7.3,151 min,Pirates of the Caribbean: Dead Man's Chest,593926,2006,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean Dead Mans Chest
"Biography, Crime, Drama",$97.10M,7.0,140 min,Public Enemies,254558,2009,Public Enemies,Public Enemies
"Comedy, Horror, Sci-Fi",$14.24M,7.4,91 min,The Return of the Living Dead,46181,1985,The Return of the Living Dead,The Return of the Living Dead
"Action, Adventure, Fantasy",$380.26M,7.6,140 min,Star Wars: Episode III - Revenge of the Sith,614376,2005,Star Wars: Episode III - Revenge of the Sith,Star Wars   Revenge of the Sith
"Animation, Family, Fantasy",$111.54M,7.6,83 min,The Little Mermaid,202251,1989,The Little Mermaid,The Little Mermaid
Drama,$148.10M,8.1,116 min,Gran Torino,647946,2008,Gran Torino,Gran Torino
"Action, Crime, Thriller",$238.68M,7.1,130 min,Furious 6,337729,2013,Furious 6,Furious 6
"Biography, Drama, Sport",$75.61M,7.6,133 min,Moneyball,316262,2011,Moneyball,Moneyball
"Comedy, Drama",$6.53M,8.4,170 min,3 Idiots,282293,2009,3 Idiots,3 Idiots
"Action, Biography, Drama",$125.10M,7.5,121 min,Lone Survivor,238070,2013,Lone Survivor,Lone Survivor
"Comedy, Drama",$1.50M,7.3,151 min,The Square,37522,2017,The Square,The Square
"Biography, Drama, History",$51.97M,8.3,160 min,Amadeus,322672,1984,Amadeus,Amadeus
"Action, Thriller",$117.54M,7.1,124 min,Die Hard 2,302572,1990,Die Hard 2,Die Hard 2
"Comedy, Drama, Family",$32.42M,7.8,101 min,The Sandlot,68281,1993,The Sandlot,The Sandlot
"Drama, Romance",$141.32M,8.0,120 min,Slumdog Millionaire,722999,2008,Slumdog Millionaire,Slumdog Millionaire
"Drama, Horror, Mystery",$26.12M,7.5,113 min,Jacob's Ladder,86950,1990,Jacob's Ladder,Jacobs Ladder
"Animation, Adventure, Family",$223.81M,8.4,98 min,WALL·E,864753,2008,WALL·E,WALLE
"Biography, Drama, History",$5.51M,8.2,156 min,Downfall,293042,2004,Downfall,Downfall
"Biography, Drama, History",$12.71M,7.1,119 min,The Danish Girl,136266,2015,The Danish Girl,The Danish Girl
"Adventure, Drama, Sci-Fi",$78.62M,7.1,146 min,A.I. Artificial Intelligence,267637,2001,A.I. Artificial Intelligence,AI Artificial Intelligence
"Action, Adventure, Drama",None,7.3,120 min,Okja,64658,2017,Okja,Okja
"Action, Adventure, Crime",$132.07M,7.7,145 min,Minority Report,454075,2002,Minority Report,Minority Report
"Crime, Drama, Thriller",$76.63M,7.7,122 min,Training Day,345027,2001,Training Day,Training Day
"Drama, Mystery, Thriller",$29.20M,8.2,130 min,Chinatown,255406,1974,Chinatown,Chinatown
"Crime, Drama, Mystery",None,7.3,128 min,Murder on the Orient Express,47545,1974,Murder on the Orient Express,Murder on the Orient Express
"Drama, Romance",$57.55M,7.4,126 min,The Cider House Rules,86090,1999,The Cider House Rules,The Cider House Rules
"Crime, Drama",$42.44M,8.2,178 min,Casino,397045,1995,Casino,Casino
"Biography, Drama, Romance",$35.89M,7.7,123 min,The Theory of Everything,339872,2014,The Theory of Everything,The Theory of Everything
"Animation, Adventure, Comedy",$436.47M,7.2,93 min,Shrek 2,362721,2004,Shrek 2,Shrek 2
"Family, Fantasy, Musical",$4.00M,7.8,100 min,Willy Wonka &amp; the Chocolate Factory,152689,1971,Willy Wonka and the Chocolate Factory,Willy Wonka and the Chocolate Factory
"Crime, Drama, Mystery",$90.14M,8.0,138 min,Mystic River,377139,2003,Mystic River,Mystic River
"Mystery, Sci-Fi, Thriller",$127.00M,7.0,112 min,Super 8,313733,2011,Super 8,Super 8
"Biography, Drama, History",$161.20M,7.9,147 min,Straight Outta Compton,159068,2015,Straight Outta Compton,Straight Outta Compton
"Crime, Drama",None,7.1,132 min,Brawl in Cell Block 99,37299,2017,Brawl in Cell Block 99,Brawl in Cell Block 99
"Animation, Adventure, Family",$120.62M,7.6,88 min,Mulan,209957,1998,Mulan,Mulan
"Drama, Romance",$11.24M,7.4,120 min,Jane Eyre,72311,2011,Jane Eyre,Jane Eyre
"Biography, Drama, Thriller",$107.10M,7.8,134 min,Captain Phillips,374311,2013,Captain Phillips,Captain Phillips
"Biography, Crime, Drama",$102.31M,8.1,110 min,Butch Cassidy and the Sundance Kid,180407,1969,Butch Cassidy and the Sundance Kid,Butch Cassidy and the Sundance Kid
"Comedy, Sport",$38.62M,7.0,92 min,Happy Gilmore,175059,1996,Happy Gilmore,Happy Gilmore
"Comedy, Crime, Mystery",$18.49M,7.1,100 min,Super Troopers,88383,2001,Super Troopers,Super Troopers
"Comedy, Drama",$82.58M,7.3,115 min,The Descendants,219772,2011,The Descendants,The Descendants
Drama,$7.42M,7.0,91 min,Kids,65786,1995,Kids,Kids
"Drama, Family, Fantasy",$7.27M,8.6,130 min,It's a Wonderful Life,336140,1946,It's a Wonderful Life,Its a Wonderful Life
"Crime, Drama, Musical",$43.66M,7.6,153 min,West Side Story,84080,1961,West Side Story,West Side Story
"Mystery, Romance, Sci-Fi",$54.71M,7.5,93 min,Source Code,437243,2011,Source Code,Source Code
"Drama, Romance, War",$78.65M,7.4,162 min,The English Patient,160759,1996,The English Patient,The English Patient
"Comedy, Drama, Romance",$77.87M,7.3,128 min,The Terminal,351265,2004,The Terminal,The Terminal
"Drama, Horror, Thriller",$0.11M,7.3,94 min,Kynodontas,62223,2009,Kynodontas,Kynodontas
Drama,$4.00M,7.2,101 min,Shame,166487,2011,Shame,Shame
"Comedy, Romance",$148.73M,7.0,129 min,Knocked Up,324182,2007,Knocked Up,Knocked Up
"Animation, Action, Adventure",$48.02M,7.8,101 min,Kubo and the Two Strings,97682,2016,Kubo and the Two Strings,Kubo and the Two Strings
"Action, Crime, Drama",$31.89M,7.4,133 min,Patriots Day,69675,2016,Patriots Day,Patriots Day
"Drama, Mystery, Sci-Fi",$5.01M,7.9,97 min,Moon,301550,2009,Moon,Moon
"Drama, Thriller",$141.34M,7.7,138 min,A Few Good Men,207339,1992,A Few Good Men,A Few Good Men
"Action, Adventure, Drama",$134.22M,7.3,143 min,Superman,142967,1978,Superman,Superman
"Drama, Thriller, War",$17.02M,7.6,131 min,The Hurt Locker,379307,2008,The Hurt Locker,The Hurt Locker
"Drama, Fantasy, Romance",$0.00M,7.9,141 min,Mr. Nobody,188546,2009,Mr. Nobody,Mr Nobody
"Mystery, Romance, Thriller",$3.20M,8.3,128 min,Vertigo,304840,1958,Vertigo,Vertigo
"Drama, Mystery, Sci-Fi",$0.07M,7.5,97 min,Predestination,214876,2014,Predestination,Predestination
"Comedy, Crime, Drama",$159.60M,8.3,129 min,The Sting,210158,1973,The Sting,The Sting
"Animation, Adventure, Comedy",$145.79M,7.2,85 min,Lilo &amp; Stitch,142244,2002,Lilo and Stitch,Lilo and Stitch
"Biography, Crime, Drama",$52.99M,7.6,124 min,Blow,218533,2001,Blow,Blow
"Crime, Drama, Thriller",$93.15M,7.2,124 min,Red Dragon,225151,2002,Red Dragon,Red Dragon
"Action, Sci-Fi",$281.49M,7.2,138 min,The Matrix Reloaded,464627,2003,The Matrix Reloaded,The Matrix Reloaded
"Mystery, Sci-Fi, Thriller",$57.14M,8.0,129 min,Twelve Monkeys,527550,1995,Twelve Monkeys,Twelve Monkeys
"Biography, Drama, History",$12.79M,7.2,115 min,The Founder,87135,2016,The Founder,The Founder
"Horror, Mystery",$129.13M,7.1,115 min,The Ring,288942,2002,The Ring,The Ring
"Comedy, Romance",$0.01M,7.2,102 min,"Love, Rosie",96432,2014,"Love, Rosie",Love Rosie
"Biography, Drama, Thriller",$136.03M,7.7,120 min,Argo,518352,2012,Argo,Argo
"Comedy, Crime",$3.90M,8.2,107 min,"Lock, Stock and Two Smoking Barrels",477129,1998,"Lock, Stock and Two Smoking Barrels",Lock Stock and Two Smoking Barrels
"Comedy, Drama",$143.50M,7.5,96 min,Juno,455311,2007,Juno,Juno
"Comedy, Drama, Fantasy",$22.86M,7.8,112 min,Being John Malkovich,281272,1999,Being John Malkovich,Being John Malkovich
"Drama, Family, Romance",$50.08M,7.3,115 min,Little Women,41823,1994,Little Women,Little Women
Drama,$57.64M,7.2,139 min,Fences,79042,2016,Fences,Fences
"Drama, Romance",$12.55M,7.2,133 min,The Light Between Oceans,42076,2016,The Light Between Oceans,The Light Between Oceans
"Comedy, Drama, Romance",$116.09M,7.1,124 min,Notting Hill,234232,1999,Notting Hill,Notting Hill
"Biography, History, Thriller",$2.96M,7.2,120 min,Anthropoid,35315,2016,Anthropoid,Anthropoid
"Biography, Crime, Drama",$34.47M,7.3,109 min,Monster,120543,2003,Monster,Monster
"Comedy, Drama, Romance",$4.06M,7.0,107 min,Secretary,75313,2002,Secretary,Secretary
"Animation, Action, Comedy",$175.75M,7.3,104 min,The Lego Batman Movie,104908,2017,The Lego Batman Movie,The Lego Batman Movie
"Action, Crime, Sci-Fi",$112.23M,7.3,138 min,Face/Off,316068,1997,Face/Off,FaceOff
"Comedy, Fantasy, Horror",$148.17M,7.2,106 min,Gremlins,168539,1984,Gremlins,Gremlins
"Crime, Drama, Thriller",$101.01M,7.5,120 min,Collateral,326301,2004,Collateral,Collateral
"Drama, Horror",None,8.0,137 min,Rosemary's Baby,162513,1968,Rosemary's Baby,Rosemarys Baby
"Horror, Thriller",$76.61M,7.4,114 min,Poltergeist,123359,1982,Poltergeist,Poltergeist
"Drama, Sci-Fi",$8.40M,7.2,113 min,Nineteen Eighty-Four,57812,1984,Nineteen Eighty-Four,Nineteen EightyFour
"Drama, Romance",$34.19M,7.6,124 min,The Reader,212056,2008,The Reader,The Reader
Comedy,$0.28M,8.4,95 min,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,400098,1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr Strangelove or How I Learned to Stop Worrying and Love the Bomb
"Crime, Drama, Thriller",$73.34M,7.4,109 min,Law Abiding Citizen,243449,2009,Law Abiding Citizen,Law Abiding Citizen
"Adventure, Comedy",$53.88M,7.0,89 min,Austin Powers: International Man of Mystery,200775,1997,Austin Powers: International Man of Mystery,Austin Powers International Man of Mystery
"Drama, Musical, Romance",$57.39M,7.6,127 min,Moulin Rouge!,246153,2001,Moulin Rouge!,Moulin Rouge
"Action, Horror, Sci-Fi",$13.01M,7.3,94 min,They Live,90523,1988,They Live,They Live
"Animation, Adventure, Family",$4.71M,8.2,119 min,Howl's Moving Castle,267913,2004,Howl's Moving Castle,Howls Moving Castle
"Crime, Drama, Romance",$9.25M,7.6,153 min,Lolita,79491,1962,Lolita,Lolita
"Crime, Drama",$50.28M,7.3,118 min,Natural Born Killers,194184,1994,Natural Born Killers,Natural Born Killers
"Drama, Romance",$43.18M,7.7,136 min,Sense and Sensibility,88678,1995,Sense and Sensibility,Sense and Sensibility
"Crime, Drama, Mystery",$10.10M,7.8,152 min,The Girl with the Dragon Tattoo,192087,2009,The Girl with the Dragon Tattoo,The Girl with the Dragon Tattoo
"Mystery, Thriller",$36.76M,8.5,112 min,Rear Window,380099,1954,Rear Window,Rear Window
"Action, Drama, Sci-Fi",$4.56M,7.0,126 min,Snowpiercer,224871,2013,Snowpiercer,Snowpiercer
"Adventure, Comedy, Drama",$58.24M,7.3,114 min,The Secret Life of Walter Mitty,267825,2013,The Secret Life of Walter Mitty,The Secret Life of Walter Mitty
"Animation, Adventure, Comedy",$486.30M,7.3,97 min,Finding Dory,199392,2016,Finding Dory,Finding Dory
"Drama, Mystery, Thriller",$60.98M,7.5,144 min,The Devil's Advocate,292185,1997,The Devil's Advocate,The Devils Advocate
"Action, Biography, Drama",$26.95M,8.1,123 min,Rush,377839,2013,Rush,Rush
Horror,$30.86M,7.5,83 min,The Texas Chain Saw Massacre,115024,1974,The Texas Chain Saw Massacre,The Texas Chain Saw Massacre
"Crime, Drama, Thriller",$104.45M,7.7,117 min,Road to Perdition,222721,2002,Road to Perdition,Road to Perdition
"Drama, Fantasy",$0.34M,7.3,161 min,Enter the Void,56772,2009,Enter the Void,Enter the Void
"Adventure, Comedy, Crime",$45.51M,7.8,107 min,"O Brother, Where Art Thou?",254413,2000,"O Brother, Where Art Thou?",O Brother Where Art Thou
"Action, Adventure, Thriller",$16.07M,7.3,110 min,Dr. No,129989,1962,Dr. No,Dr No
Drama,$22.46M,8.0,188 min,Magnolia,263896,1999,Magnolia,Magnolia
"Action, Fantasy, Thriller",$51.97M,7.0,121 min,Underworld,233534,2003,Underworld,Underworld
"Comedy, Drama",$59.89M,7.8,101 min,Little Miss Sunshine,397859,2006,Little Miss Sunshine,Little Miss Sunshine
"Animation, Biography, Crime",$6.74M,7.8,94 min,Loving Vincent,32897,2017,Loving Vincent,Loving Vincent
"Crime, Drama, Fantasy",$2.22M,7.5,147 min,Perfume: The Story of a Murderer,212604,2006,Perfume: The Story of a Murderer,Perfume The Story of a Murderer
"Crime, Drama, History",$16.79M,7.4,143 min,Detroit,35473,2017,Detroit,Detroit
"Action, Crime, Fantasy",$162.83M,7.0,126 min,Batman Returns,244154,1992,Batman Returns,Batman Returns
"Drama, Thriller",$93.77M,7.3,138 min,Flight,293364,2012,Flight,Flight
"Action, Drama, History",$113.33M,7.2,165 min,The Patriot,230639,2000,The Patriot,The Patriot
"Drama, Horror, Sci-Fi",$40.46M,7.5,96 min,The Fly,138901,1986,The Fly,The Fly
"Comedy, Drama",$56.20M,7.2,105 min,The Big Chill,28996,1983,The Big Chill,The Big Chill
"Drama, War",None,7.4,134 min,Mudbound,29202,2017,Mudbound,Mudbound
"Horror, Sci-Fi, Thriller",$25.59M,7.2,126 min,The Mist,252547,2007,The Mist,The Mist
"Comedy, Drama, Romance",$32.39M,7.7,95 min,(500) Days of Summer,427917,2009,(500) Days of Summer,500 Days of Summer
"Drama, Horror, Sci-Fi",$28.64M,7.0,100 min,28 Weeks Later,235406,2007,28 Weeks Later,28 Weeks Later
"Adventure, Comedy, Sci-Fi",$87.73M,7.4,118 min,Back to the Future Part III,340368,1990,Back to the Future Part III,Back to the Future I
"Action, Crime, Drama",$77.91M,7.7,146 min,Man on Fire,297897,2004,Man on Fire,Man on Fire
"Drama, Fantasy, Horror",$12.13M,7.1,116 min,Let Me In,104042,2010,Let Me In,Let Me In
"Crime, Drama, Thriller",$49.10M,7.6,147 min,Sleepers,170706,1996,Sleepers,Sleepers
"Action, Comedy, Fantasy",$3.77M,7.1,79 min,The Monster Squad,23331,1987,The Monster Squad,The Monster Squad
"Drama, Romance",$13.84M,7.0,107 min,One Day,123389,2011,One Day,One Day
"Comedy, Crime, Musical",$170.69M,7.2,113 min,Chicago,194978,2002,Chicago,Chicago
"Action, Drama, History",$61.28M,7.1,107 min,Deepwater Horizon,124591,2016,Deepwater Horizon,Deepwater Horizon
"Action, Drama, History",$111.11M,7.7,154 min,The Last Samurai,358275,2003,The Last Samurai,The Last Samurai
"Adventure, Comedy, Drama",$30.64M,7.3,114 min,Chef,167176,2014,Chef,Chef
"Sci-Fi, Thriller",$57.94M,7.7,113 min,The Butterfly Effect,406840,2004,The Butterfly Effect,The Butterfly Effect
"Crime, Drama, Mystery",$56.12M,7.7,129 min,Primal Fear,155571,1996,Primal Fear,Primal Fear
"Drama, Mystery, Sci-Fi",$100.92M,7.4,150 min,Contact,228367,1997,Contact,Contact
"Animation, Comedy, Family",$127.81M,7.1,107 min,Enchanted,160493,2007,Enchanted,Enchanted
"Action, Adventure",$179.87M,7.6,118 min,Indiana Jones and the Temple of Doom,386207,1984,Indiana Jones and the Temple of Doom,Indiana Jones and the Temple of Doom
"Action, Drama, Fantasy",$50.69M,7.6,102 min,The Crow,151082,1994,The Crow,The Crow
"Adventure, Comedy, Fantasy",$1.23M,8.3,91 min,Monty Python and the Holy Grail,442939,1975,Monty Python and the Holy Grail,Monty Python and the Holy Grail
"Adventure, Drama, Romance",$0.66M,7.0,163 min,American Honey,28711,2016,American Honey,American Honey
"Adventure, Comedy, Drama",$64.51M,7.0,100 min,A Dog's Purpose,47401,2017,A Dog's Purpose,A Dogs Purpose
"Drama, Mystery, Thriller",$24.15M,7.1,122 min,Tinker Tailor Soldier Spy,169606,2011,Tinker Tailor Soldier Spy,Tinker Tailor Soldier Spy
"Action, Mystery, Thriller",$121.66M,7.9,119 min,The Bourne Identity,462072,2002,The Bourne Identity,The Bourne Identity
"Crime, Drama, Thriller",$108.77M,7.4,149 min,A Time to Kill,115067,1996,A Time to Kill,A Time to Kill
"Action, Comedy, Crime",$4.24M,7.6,103 min,Kiss Kiss Bang Bang,197419,2005,Kiss Kiss Bang Bang,Kiss Kiss Bang Bang
"Drama, Mystery, Romance",$6.39M,8.2,129 min,The Secret in Their Eyes,165044,2009,The Secret in Their Eyes,The Secret in Their Eyes
"Animation, Adventure, Comedy",$368.06M,7.4,98 min,Despicable Me 2,330818,2013,Despicable Me 2,Despicable Me 2
"Sci-Fi, Thriller",$115.65M,7.9,112 min,District 9,588667,2009,District 9,District 9
"Drama, Mystery, Thriller",$8.55M,7.8,120 min,Blue Velvet,156193,1986,Blue Velvet,Blue Velvet
"Action, Horror, Thriller",$59.02M,7.3,101 min,Dawn of the Dead,214904,2004,Dawn of the Dead,Dawn of the Dead
"Drama, History, Thriller",$72.31M,7.6,142 min,Bridge of Spies,250430,2015,Bridge of Spies,Bridge of Spies
"Action, Crime, Thriller",$106.13M,7.0,111 min,The Italian Job,314172,2003,The Italian Job,The Italian Job
"Horror, Mystery, Thriller",$96.52M,7.6,104 min,The Others,304375,2001,The Others,The Others
"Crime, Drama, Thriller",$39.67M,7.5,154 min,Jackie Brown,271411,1997,Jackie Brown,Jackie Brown
"Action, Comedy, Crime",$90.38M,7.1,111 min,RED,264776,2010,RED,RED
"Comedy, Drama, Thriller",$3.11M,8.1,122 min,Relatos salvajes,140183,2014,Relatos salvajes,Relatos salvajes
"Drama, Horror",$0.51M,7.0,99 min,Grave,43962,2016,Grave,Grave
"Comedy, Romance",$25.00M,8.3,121 min,Some Like It Hot,210259,1959,Some Like It Hot,Some Like It Hot
"Action, Horror",$70.09M,7.1,120 min,Blade,217798,1998,Blade,Blade
"Mystery, Sci-Fi, Thriller",$0.07M,7.2,89 min,Coherence,82920,2013,Coherence,Coherence
"Adventure, Drama, Fantasy",$124.99M,7.9,127 min,Life of Pi,512926,2012,Life of Pi,Life of Pi
"Comedy, Drama, Romance",$104.95M,8.0,106 min,The Graduate,231722,1967,The Graduate,The Graduate
"Action, Biography, Crime",$0.10M,7.1,92 min,Bronson,105276,2008,Bronson,Bronson
"Biography, Drama, Sport",$93.62M,7.8,116 min,The Fighter,307229,2010,The Fighter,The Fighter
"Action, Crime, Sci-Fi",$64.04M,7.1,126 min,Deja Vu,268435,2006,Deja Vu,Deja Vu
"Comedy, Sport",$39.85M,7.3,98 min,Caddyshack,93099,1980,Caddyshack,Caddyshack
"Biography, Drama",$28.87M,7.4,127 min,"Girl, Interrupted",142599,1999,"Girl, Interrupted",Girl Interrupted
"Adventure, Comedy, Drama",$5.20M,7.9,101 min,Hunt for the Wilderpeople,79515,2016,Hunt for the Wilderpeople,Hunt for the Wilderpeople
"Action, Adventure, Fantasy",$309.42M,7.1,169 min,Pirates of the Caribbean: At World's End,538723,2007,Pirates of the Caribbean: At World's End,Pirates of the Caribbean At Worlds End
"Action, Adventure, Thriller",$24.80M,7.5,115 min,From Russia with Love,101833,1963,From Russia with Love,From Russia with Love
"Drama, Romance",$53.70M,7.1,126 min,P.S. I Love You,187596,2007,P.S. I Love You,PS I Love You
"Action, Drama, Thriller",$39.39M,7.1,128 min,Body of Lies,194092,2008,Body of Lies,Body of Lies
Drama,$63.90M,8.0,156 min,Scent of a Woman,223158,1992,Scent of a Woman,Scent of a Woman
Drama,$25.38M,7.9,165 min,Boyhood,307515,2014,Boyhood,Boyhood
"Adventure, Comedy, Drama",$4.21M,7.0,97 min,Swiss Army Man,84166,2016,Swiss Army Man,Swiss Army Man
"Animation, Adventure, Comedy",$245.85M,7.9,92 min,Toy Story 2,446791,1999,Toy Story 2,Toy Story 2
Drama,$172.83M,8.0,133 min,Rain Man,428508,1988,Rain Man,Rain Man
"Drama, Romance",$4.86M,7.2,97 min,The Virgin Suicides,130776,1999,The Virgin Suicides,The Virgin Suicides
"Action, Crime, Sci-Fi",$13.41M,7.1,95 min,Dredd,228454,2012,Dredd,Dredd
"Action, Crime, Thriller",$209.84M,7.3,130 min,Fast Five,320247,2011,Fast Five,Fast Five
"Adventure, Drama, Western",$184.21M,8.0,181 min,Dances with Wolves,212643,1990,Dances with Wolves,Dances with Wolves
"Drama, Family, Fantasy",$64.43M,7.5,107 min,Field of Dreams,96709,1989,Field of Dreams,Field of Dreams
"Action, Adventure",$47.21M,7.7,93 min,First Blood,194823,1982,First Blood,First Blood
"Action, Thriller",$4.11M,7.6,101 min,The Raid: Redemption,169076,2011,The Raid: Redemption,The Raid Redemption
"Action, Comedy, Horror",$0.22M,7.6,89 min,Tucker and Dale vs Evil,148697,2010,Tucker and Dale vs Evil,Tucker and Dale vs Evil
"Action, Mystery, Thriller",$227.47M,8.0,115 min,The Bourne Ultimatum,568128,2007,The Bourne Ultimatum,The Bourne Ultimatum
"Comedy, Romance",$176.48M,7.1,119 min,There's Something About Mary,268460,1998,There's Something About Mary,Theres Something About Mary
"Action, Crime, Drama",$41.00M,7.6,109 min,End of Watch,205727,2012,End of Watch,End of Watch
"Animation, Adventure, Family",$171.09M,7.2,88 min,Tarzan,172543,1999,Tarzan,Tarzan
"Action, Adventure, Fantasy",$5.90M,7.2,116 min,Highlander,109654,1986,Highlander,Highlander
"Adventure, Crime, Drama",$2.53M,7.6,96 min,Sin Nombre,28799,2009,Sin Nombre,Sin Nombre
"Action, Horror, Thriller",$25.03M,7.6,191 min,Grindhouse,166645,2007,Grindhouse,Grindhouse
Drama,$1.36M,7.1,85 min,Locke,114489,2013,Locke,Locke
"Action, Comedy, Crime",$234.76M,7.3,105 min,Beverly Hills Cop,143894,1984,Beverly Hills Cop,Beverly Hills Cop
"Action, Mystery, Thriller",$92.17M,7.0,106 min,Non-Stop,227349,2014,Non-Stop,NonStop
"Action, Sci-Fi",$25.24M,7.2,99 min,Escape from New York,107157,1981,Escape from New York,Escape from New York
"Adventure, Drama, Family",$82.27M,7.2,96 min,Bridge to Terabithia,126942,2007,Bridge to Terabithia,Bridge to Terabithia
"Drama, Thriller",$3.44M,7.5,132 min,Miss Sloane,46096,2016,Miss Sloane,Miss Sloane
"Comedy, Romance",$209.22M,7.0,119 min,Wedding Crashers,306248,2005,Wedding Crashers,Wedding Crashers
"Comedy, Drama, Romance",None,7.7,115 min,Breakfast at Tiffany's,145907,1961,Breakfast at Tiffany's,Breakfast at Tiffanys
"Animation, Action, Adventure",$215.43M,7.6,92 min,Kung Fu Panda,361937,2008,Kung Fu Panda,Kung Fu Panda
"Action, Crime, Thriller",$0.03M,7.8,108 min,The Boondock Saints,213141,1999,The Boondock Saints,The Boondock Saints
"Adventure, Comedy, Drama",$67.41M,7.0,117 min,Holes,67609,2003,Holes,Holes
"Action, Adventure, Crime",$121.25M,7.2,116 min,Speed,292417,1994,Speed,Speed
"Drama, Sci-Fi, Thriller",$12.34M,7.8,106 min,Gattaca,251381,1997,Gattaca,Gattaca
"Drama, Horror, Mystery",$11.40M,7.7,119 min,The Birds,149154,1963,The Birds,The Birds
"Drama, Sci-Fi",$0.23M,8.1,162 min,Stalker,91858,1979,Stalker,Stalker
"Action, Crime, Drama",$183.88M,7.8,130 min,The Fugitive,237824,1993,The Fugitive,The Fugitive
"Comedy, Western",$119.50M,7.8,93 min,Blazing Saddles,111317,1974,Blazing Saddles,Blazing Saddles
"Action, Comedy, Sci-Fi",$26.00M,7.0,109 min,The World's End,222927,2013,The World's End,The Worlds End
"Drama, Sci-Fi",$9.93M,8.0,132 min,Brazil,170327,1985,Brazil,Brazil
"Adventure, Drama, Family",$73.86M,7.5,126 min,Hugo,276558,2011,Hugo,Hugo
"Animation, Adventure, Fantasy",$2.38M,8.4,134 min,Princess Mononoke,278981,1997,Princess Mononoke,Princess Mononoke
"Drama, Mystery",$6.53M,7.2,100 min,Winter's Bone,123835,2010,Winter's Bone,Winters Bone
"Animation, Action, Comedy",$148.42M,7.3,95 min,Megamind,199376,2010,Megamind,Megamind
"Animation, Adventure, Comedy",$21.00M,7.8,87 min,Fantastic Mr. Fox,168983,2009,Fantastic Mr. Fox,Fantastic Mr Fox
"Action, Crime, Mystery",$111.55M,7.3,132 min,Enemy of the State,207999,1998,Enemy of the State,Enemy of the State
"Crime, Drama, Thriller",$81.30M,7.4,139 min,The Talented Mr. Ripley,156454,1999,The Talented Mr. Ripley,The Talented Mr Ripley
"Drama, Horror, Musical",$52.90M,7.4,116 min,Sweeney Todd: The Demon Barber of Fleet Street,313602,2007,Sweeney Todd: The Demon Barber of Fleet Street,Sweeney Todd The Demon Barber of Fleet Street
"Comedy, Drama, Mystery",$41.31M,7.3,131 min,Gosford Park,71406,2001,Gosford Park,Gosford Park
"Adventure, Drama, Thriller",$57.37M,8.0,143 min,Blood Diamond,449654,2006,Blood Diamond,Blood Diamond
Drama,$2.40M,7.2,117 min,T2 Trainspotting,86439,2017,T2 Trainspotting,T2 Trainspotting
"Action, Adventure, Comedy",$46.30M,7.6,205 min,It's a Mad Mad Mad Mad World,33151,1963,It's a Mad Mad Mad Mad World,Its a Mad Mad Mad Mad World
